#  wl flux error bpmap
3.491810e+03 -1.507826e-18 2.374614e-18   0.000000
3.492410e+03 2.396908e-18 2.180793e-18   0.000000
3.493010e+03 5.361208e-18 2.070021e-18   0.000000
3.493610e+03 -5.210970e-19 2.053894e-18   0.000000
3.494210e+03 1.109573e-18 1.839970e-18   0.000000
3.494810e+03 -2.526905e-18 1.905873e-18   0.000000
3.495410e+03 5.083333e-18 2.205304e-18   0.000000
3.496011e+03 -4.271656e-19 2.296834e-18   0.000000
3.496611e+03 3.259116e-19 1.884227e-18   0.000000
3.497211e+03 2.569695e-18 1.794981e-18   0.000000
3.497811e+03 1.370428e-18 1.915256e-18   0.000000
3.498411e+03 9.357672e-19 1.890400e-18   0.000000
3.499011e+03 5.281186e-19 1.707730e-18   0.000000
3.499611e+03 2.420525e-18 1.791818e-18   0.000000
3.500211e+03 6.314791e-19 2.085514e-18   0.000000
3.500812e+03 1.316008e-18 2.105303e-18   0.000000
3.501412e+03 2.038693e-18 1.781981e-18   0.000000
3.502012e+03 1.865822e-18 1.725463e-18   0.000000
3.502612e+03 1.865886e-18 1.723742e-18   0.000000
3.503212e+03 3.078663e-18 1.820474e-18   0.000000
3.503812e+03 7.235746e-19 1.840010e-18   0.000000
3.504412e+03 4.535002e-18 1.755342e-18   0.000000
3.505012e+03 1.743520e-18 1.855231e-18   0.000000
3.505613e+03 -1.580365e-18 1.850825e-18   0.000000
3.506213e+03 2.467966e-18 1.814749e-18   0.000000
3.506813e+03 7.909292e-19 1.746083e-18   0.000000
3.507413e+03 4.612564e-18 1.649554e-18   0.000000
3.508013e+03 2.512336e-18 1.668578e-18   0.000000
3.508613e+03 1.109201e-18 1.691128e-18   0.000000
3.509213e+03 3.665093e-18 1.813208e-18   0.000000
3.509813e+03 -5.149518e-19 1.865274e-18   0.000000
3.510413e+03 -2.070945e-18 1.814693e-18   0.000000
3.511014e+03 1.660723e-18 1.911485e-18   0.000000
3.511614e+03 2.331300e-18 1.764994e-18   0.000000
3.512214e+03 3.198650e-18 1.731575e-18   0.000000
3.512814e+03 5.906914e-19 1.778099e-18   0.000000
3.513414e+03 1.260010e-18 1.669660e-18   0.000000
3.514014e+03 1.931816e-18 1.657473e-18   0.000000
3.514614e+03 3.056866e-18 1.591836e-18   0.000000
3.515214e+03 3.489603e-18 1.614350e-18   0.000000
3.515815e+03 2.027815e-18 1.600043e-18   0.000000
3.516415e+03        nan        nan   0.000000
3.517015e+03 1.030816e-18 1.702374e-18   0.000000
3.517615e+03 4.720300e-18 1.676687e-18   0.000000
3.518215e+03 2.316001e-18 1.597343e-18   0.000000
3.518815e+03 -7.075825e-19 1.545382e-18   0.000000
3.519415e+03 1.714429e-18 1.598568e-18   0.000000
3.520015e+03 2.418516e-18 1.626289e-18   0.000000
3.520616e+03 2.654845e-19 1.508222e-18   0.000000
3.521216e+03 2.373703e-18 1.517802e-18   0.000000
3.521816e+03 6.131764e-19 1.424326e-18   0.000000
3.522416e+03 1.627282e-18 1.419174e-18   0.000000
3.523016e+03 -6.686065e-19 1.506353e-18   0.000000
3.523616e+03 8.029077e-19 1.593405e-18   0.000000
3.524216e+03 1.096721e-18 1.519039e-18   0.000000
3.524816e+03 3.326197e-18 1.451339e-18   0.000000
3.525417e+03 -1.842498e-19 1.453247e-18   0.000000
3.526017e+03 1.452560e-18 1.447721e-18   0.000000
3.526617e+03 7.256505e-19 1.398898e-18   0.000000
3.527217e+03 5.062788e-19 1.404665e-18   0.000000
3.527817e+03 9.382637e-19 1.434740e-18   0.000000
3.528417e+03 -9.378214e-19 1.415191e-18   0.000000
3.529017e+03 1.363841e-18 1.392452e-18   0.000000
3.529617e+03 -2.008590e-18 1.398538e-18   0.000000
3.530218e+03 1.448377e-18 1.365895e-18   0.000000
3.530818e+03 2.076469e-18 1.397429e-18   0.000000
3.531418e+03 -6.125382e-19 1.431578e-18   0.000000
3.532018e+03 4.282996e-18 1.485475e-18   0.000000
3.532618e+03 2.533193e-19 1.374519e-18   0.000000
3.533218e+03 2.830514e-18 1.360477e-18   0.000000
3.533818e+03 4.498054e-18 1.362545e-18   0.000000
3.534418e+03 9.770307e-19 1.333272e-18   0.000000
3.535018e+03 7.310644e-20 1.384848e-18   0.000000
3.535619e+03 2.150706e-19 1.353878e-18   0.000000
3.536219e+03 2.175358e-18 1.352298e-18   0.000000
3.536819e+03 2.401528e-18 1.322801e-18   0.000000
3.537419e+03 -5.764661e-19 1.285496e-18   0.000000
3.538019e+03 1.922601e-18 1.354368e-18   0.000000
3.538619e+03 8.520251e-19 1.340416e-18   0.000000
3.539219e+03 -1.398982e-19 1.336884e-18   0.000000
3.539819e+03 2.499490e-18 1.429995e-18   0.000000
3.540420e+03 1.267322e-19 1.512630e-18   0.000000
3.541020e+03 4.586126e-18 1.549788e-18   0.000000
3.541620e+03 2.218339e-18 1.601647e-18   0.000000
3.542220e+03 2.603187e-18 1.511195e-18   0.000000
3.542820e+03        nan        nan   0.000000
3.543420e+03 -6.509841e-19 1.883487e-18   0.000000
3.544020e+03 2.265572e-18 1.676125e-18   0.000000
3.544620e+03 -6.986943e-19 1.742035e-18   0.000000
3.545221e+03 2.889592e-18 1.867873e-18   0.000000
3.545821e+03 -8.118008e-19 1.658699e-18   0.000000
3.546421e+03 2.162725e-18 1.635380e-18   0.000000
3.547021e+03 -6.063150e-19 1.655912e-18   0.000000
3.547621e+03 2.026163e-18 1.731365e-18   0.000000
3.548221e+03 2.059558e-19 1.611011e-18   0.000000
3.548821e+03 2.045711e-18 1.598862e-18   0.000000
3.549421e+03 3.668197e-18 1.564516e-18   0.000000
3.550022e+03 1.057004e-18 1.576510e-18   0.000000
3.550622e+03 2.843290e-18 1.579856e-18   0.000000
3.551222e+03 2.214507e-18 1.566657e-18   0.000000
3.551822e+03 2.891702e-18 1.590521e-18   0.000000
3.552422e+03 6.063036e-19 1.447175e-18   0.000000
3.553022e+03 3.383409e-18 1.540439e-18   0.000000
3.553622e+03 2.133189e-18 1.698809e-18   0.000000
3.554222e+03        nan        nan   0.000000
3.554823e+03 2.100999e-18 1.732790e-18   0.000000
3.555423e+03 2.545880e-18 1.749947e-18   0.000000
3.556023e+03        nan        nan   0.000000
3.556623e+03 4.001351e-18 1.651244e-18   0.000000
3.557223e+03 -4.775849e-19 1.594003e-18   0.000000
3.557823e+03 5.105384e-20 1.399252e-18   0.000000
3.558423e+03 8.616757e-19 1.505432e-18   0.000000
3.559023e+03 4.133423e-18 1.749023e-18   0.000000
3.559623e+03 5.800761e-19 1.608205e-18   0.000000
3.560224e+03 2.933019e-18 1.392989e-18   0.000000
3.560824e+03 9.450132e-19 1.266347e-18   0.000000
3.561424e+03 -1.071226e-18 1.534015e-18   0.000000
3.562024e+03 3.549309e-18 1.695715e-18   0.000000
3.562624e+03 7.564448e-19 1.407652e-18   0.000000
3.563224e+03 2.559205e-18 1.353043e-18   0.000000
3.563824e+03 -1.004953e-19 1.362864e-18   0.000000
3.564424e+03 9.424030e-19 1.472442e-18   0.000000
3.565025e+03 5.967972e-19 1.652427e-18   0.000000
3.565625e+03 1.160225e-18 1.384426e-18   0.000000
3.566225e+03 1.469759e-19 1.198206e-18   0.000000
3.566825e+03 -6.908905e-19 1.239054e-18   0.000000
3.567425e+03 8.431750e-19 1.326751e-18   0.000000
3.568025e+03 1.992989e-18 1.342621e-18   0.000000
3.568625e+03 -1.414087e-18 1.487478e-18   0.000000
3.569225e+03 3.152090e-19 1.508343e-18   0.000000
3.569826e+03 5.035673e-19 1.312671e-18   0.000000
3.570426e+03 5.216045e-19 1.304724e-18   0.000000
