#  wl flux error bpmap
3.457003e+03 -6.466998e-19 3.004874e-18   0.000000
3.457603e+03 -3.628487e-19 3.099793e-18   0.000000
3.458203e+03 2.202877e-18 3.430857e-18   0.000000
3.458803e+03 1.259773e-18 3.214003e-18   0.000000
3.459403e+03 2.778413e-18 3.011701e-18   0.000000
3.460003e+03 6.321511e-18 3.033904e-18   0.000000
3.460603e+03 3.886482e-18 3.224011e-18   0.000000
3.461204e+03 1.134071e-18 3.319368e-18   0.000000
3.461804e+03 -1.853449e-18 3.043305e-18   0.000000
3.462404e+03 2.252144e-18 2.993756e-18   0.000000
3.463004e+03 5.125552e-18 2.959802e-18   0.000000
3.463604e+03        nan        nan   0.000000
3.464204e+03 5.995828e-18 3.112321e-18   0.000000
3.464804e+03 2.345772e-18 3.194647e-18   0.000000
3.465404e+03 -1.030697e-18 2.963452e-18   0.000000
3.466004e+03 3.610751e-18 3.058514e-18   0.000000
3.466605e+03 8.101803e-18 2.960470e-18   0.000000
3.467205e+03 2.632538e-18 2.946950e-18   0.000000
3.467805e+03 4.507789e-19 3.095522e-18   0.000000
3.468405e+03        nan        nan   0.000000
3.469005e+03 4.590488e-18 3.071241e-18   0.000000
3.469605e+03 4.174416e-18 2.920937e-18   0.000000
3.470205e+03        nan        nan   0.000000
3.470805e+03 1.539650e-18 2.960690e-18   0.000000
3.471406e+03 -1.160877e-18 2.974231e-18   0.000000
3.472006e+03 7.869323e-18 3.042326e-18   0.000000
3.472606e+03 3.617689e-18 3.056918e-18   0.000000
3.473206e+03 2.119906e-18 2.997100e-18   0.000000
3.473806e+03 4.487935e-18 2.930189e-18   0.000000
3.474406e+03 3.658949e-18 2.915890e-18   0.000000
3.475006e+03 -6.852900e-19 2.908140e-18   0.000000
3.475606e+03 -5.651835e-19 2.938557e-18   0.000000
3.476207e+03 -2.308856e-19 2.883607e-18   0.000000
3.476807e+03        nan        nan   0.000000
3.477407e+03 -4.723389e-19 2.835791e-18   0.000000
3.478007e+03 5.380784e-18 2.966461e-18   0.000000
3.478607e+03 1.647667e-18 3.011188e-18   0.000000
3.479207e+03 -2.674015e-18 3.053588e-18   0.000000
3.479807e+03        nan        nan   0.000000
3.480407e+03 3.330192e-18 3.241033e-18   0.000000
3.481008e+03 2.565212e-18 3.317028e-18   0.000000
3.481608e+03        nan        nan   0.000000
3.482208e+03 6.905054e-18 3.278017e-18   0.000000
3.482808e+03 -5.952356e-19 3.136547e-18   0.000000
3.483408e+03 1.012926e-18 3.534583e-18   0.000000
3.484008e+03 8.158061e-20 3.139956e-18   0.000000
3.484608e+03 7.652469e-18 3.005604e-18   0.000000
3.485208e+03 2.680391e-18 2.930245e-18   0.000000
3.485809e+03 2.033683e-18 3.472266e-18   0.000000
3.486409e+03 3.606188e-18 2.996856e-18   0.000000
3.487009e+03 2.729204e-18 2.685369e-18   0.000000
3.487609e+03 3.689447e-18 2.999630e-18   0.000000
3.488209e+03 -3.650943e-19 3.095780e-18   0.000000
3.488809e+03 5.378892e-18 3.268291e-18   0.000000
3.489409e+03 1.039823e-18 2.942354e-18   0.000000
3.490009e+03 6.380110e-20 2.494072e-18   0.000000
3.490609e+03 9.447641e-19 2.535313e-18   0.000000
3.491210e+03 -4.303600e-19 2.840166e-18   0.000000
3.491810e+03 -1.960174e-18 3.086998e-18   0.000000
3.492410e+03 3.115980e-18 2.835030e-18   0.000000
3.493010e+03 6.969571e-18 2.691027e-18   0.000000
3.493610e+03 -6.774261e-19 2.670063e-18   0.000000
3.494210e+03 1.442445e-18 2.391961e-18   0.000000
3.494810e+03 -3.284976e-18 2.477635e-18   0.000000
3.495410e+03 6.608332e-18 2.866895e-18   0.000000
3.496011e+03 -5.553153e-19 2.985884e-18   0.000000
3.496611e+03 4.236851e-19 2.449495e-18   0.000000
3.497211e+03 3.340604e-18 2.333476e-18   0.000000
3.497811e+03 1.781557e-18 2.489833e-18   0.000000
3.498411e+03 1.216497e-18 2.457521e-18   0.000000
3.499011e+03 6.865542e-19 2.220049e-18   0.000000
3.499611e+03 3.146682e-18 2.329363e-18   0.000000
3.500211e+03 8.209228e-19 2.711168e-18   0.000000
3.500812e+03 1.710811e-18 2.736894e-18   0.000000
3.501412e+03 2.650301e-18 2.316575e-18   0.000000
3.502012e+03 2.425568e-18 2.243102e-18   0.000000
3.502612e+03 2.425652e-18 2.240865e-18   0.000000
3.503212e+03 4.002261e-18 2.366616e-18   0.000000
3.503812e+03 9.406469e-19 2.392013e-18   0.000000
3.504412e+03 5.895503e-18 2.281945e-18   0.000000
3.505012e+03 2.266575e-18 2.411800e-18   0.000000
3.505613e+03 -2.054474e-18 2.406073e-18   0.000000
3.506213e+03 3.208355e-18 2.359173e-18   0.000000
3.506813e+03 1.028208e-18 2.269908e-18   0.000000
